Team Name           ,Novelty	,Relevance	    Presentation	Total
Ada Robotics	    ,0.875	    ,0.9	        ,0.8166666667	,87.66666667
BahiaRT	            ,0.675	    ,0.65	        ,0.6666666667	,66.66666667
FBot	            ,0.925	    ,0.95	        ,0.925	        ,93.25
Mecha Electra	    ,0.65	    ,0.65	        ,0.5583333333	,64.08333333
Pequi Mecânico	    ,0.625	    ,0.65	        ,0.65	        ,63.5
RoboFEI	            ,0.675	    ,0.8	        ,0.7833333333	,72.33333333
UnipDroidians	    ,0.375	    ,0.475	        ,0.5083333333	,41.83333333
UTBots	            ,0.65	    ,0.6	        ,0.65	        ,63.5
Warthog Robotics	,0.6	    ,0.575	        ,0.8	        ,61.25
